year,max_wp_nbr,source,saved_as,comment
1961,34,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/2/8/8/288931d26df900792e3157aa449d68d4703d1e0fe09aa29f99801616c255b787/161274bd-b704-46c7-9c9a-c391d213c089-AU-ATADD-3-BB-AQ-333.pdf,list_of_docs_1961.pdf,
1962,25,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/7/6/1/7619c84e8bb44ecd5a1efe0b2255e983f37660a154f662d1856df623a17b4256/2e0ab200-4a60-487b-bc3b-a27e59c9c117-AU-ATADD-3-BB-AQ-336.pdf,list_of_docs_1962.pdf,
1964,58,https://documents.ats.aq/ATCM3/sp/ATCM3_sp007_f.pdf,list_of_docs_1964.pdf,
1966,63,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/6/a/1/6a1c7d17377bbf21644f25c4eec8c95eeb0db7b98e7d14be7bf1390e4526e787/a5d99c20-82ab-4e51-b56b-c569e75d89e1-AU-ATADD-3-BB-AQ-347.pdf,list_of_docs_1966.pdf,
1968,46,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/4/6/8/468c93d681d486ab1674c0bc850aa60ab26e3ed21d73fb8eeb0ccc07599ce5f0/45fd61cb-9428-47a5-82a0-4e560ebad0fb-AU-ATADD-3-BB-AQ-309.pdf,list_of_docs_1968.pdf,
1970,30,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/f/3/8/f385b7f5c9d2c65e56b497ad14cf3867c86f8e7616b7251d69c1eb1d3dfb097f/42e1ebe9-5d0b-470c-87c2-e2a4a544bd50-AU-ATADD-3-BB-AQ-315.pdf,list_of_docs_1970.pdf,
1972,60,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/6/b/6/6b64b4e4041502bdd3422fbda827ee3eec8a9fc40f5ac0dd7c647d8f5e548703/f470dc42-3c3d-432d-9453-9c7b9f254d06-AU-ATADD-3-BB-AQ-640.pdf,list_of_docs_1972.pdf,ATAAD provides all WPs together with list
1975,49,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/c/c/5/cc50f746c2224d3367f1b2a24ead36c9afd49a938eec6ccc2e60521228c667f4/d9293a08-00ee-43b0-9d65-f0c5c5b97ef6-AU-ATADD-3-BB-AQ-639.pdf,list_of_docs_1975.pdf,ATAAD provides all WPs together with list
1977,86,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/8/2/a/82a55a2da15a46bf7f80fcffda91ba580c45561e1b8631659074ca5cd6517504/1055afcc-bb7f-40eb-9238-498ac50ea221-AU-ATADD-3-BB-AQ-301.pdf,list_of_docs_1977.pdf,
1979,52,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/4/a/c/4ac30b24a80e366aadbaa821edd80cf7b7dcd266ab186751bff76385c7b7c723/4bc766f3-f6a9-43e5-9a4c-7f9a332ebcd1-AU-ATADD-3-BB-AQ-320.pdf,list_of_docs_1979.pdf,
1981,37,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/6/a/f/6af2600764320f58c8230b1a47b3678344085ab2cc66b12415e891b6518c77e5/d7212ad1-fa7c-4654-b8f4-9a11025422d3-AU-ATADD-3-BB-AQ-666.pdf,list_of_docs_1981.pdf,
1983,28,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/a/3/9/a393729f8500b73b11b9ad0f0d555bdfdd162e95b84b58c05c2d2945fb371b6c/74c7c418-35b8-4283-a7b7-ed2481dc8a59-AU-ATADD-3-BB-AQ-384.pdf,list_of_docs_1983.pdf,
1985,34,https://sparc.utas.edu.au/uploads/r/antarctic-documents-database/6/2/c/62c632d852d01f08501512b702cd62291897b3227a5691128e8797c3c5841329/44e1f057-20c3-47a5-97d6-8782a139dae9-AU-ATADD-3-BB-AQ-394.pdf,list_of_docs_1985.pdf,
1987,37,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/7/8/0/7806c0a748640c996343e694dd81cf3b062d34f4060dafcc14a4f8455f5c7ccb/5a3eb37d-a57e-4e83-94b5-6f3dd7b4b6cb-AU-ATADD-3-BB-AQ-439.pdf,list_of_docs_1987.pdf,tricky to find max WP number
1989,71,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/1/8/8/188b86c43720bd7bb1949844ee61f71db9d910218494cc42116753e1e63d3a12/667844fc-0aff-49cb-8003-069665396846-AU-ATADD-3-BB-AQ-175.pdf,list_of_docs_1989.pdf,
1991,57,https://sparc.utas.edu.au/uploads/r/antarctic-documents-database/e/6/3/e63258841c6f02052b98757b34d349c42729b3ac9ffa65f8998f62c793830f49/955eb11b-c615-4ea8-a94f-6bda51e59fc1-AU-ATADD-3-BB-AQ-227.pdf,list_of_docs_1991.pdf,
1992,34,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/9/0/3/90344d986a44ea5698f4b8980240cd84e86c807359f9ff5fffc7595b82e77051/e34de7f8-6538-4bd9-8a16-e5c180397f14-AU-ATADD-3-BB-AQ-241.pdf,list_of_docs_1992.pdf,
1994,37,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/b/a/2/ba2a8c2982c8e8260d7e062bdb7c5e9a707a269aa5d02495c5ca0e69542f51a0/95997680-d969-4221-94f5-ecaf062b93f6-AU-ATADD-3-BB-AQ-462.pdf,list_of_docs_1994.pdf,
1995,35,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/1/d/9/1d9adf597db1373e480b0440f760bc6a798f8ae077fb0333740def98d9517ee6/aab308fd-e6b5-4482-a04e-2b7322668ead-AU-ATADD-3-BB-AQ-504.pdf,list_of_docs_1995.pdf,
1996,33,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/a/4/e/a4e25fbd0a71e4cf07793a0f69e4c50ae9c304e3a734854ef26d69a722161768/990490ad-6eb2-4094-8b84-e8425f18278e-AU-ATADD-3-BB-AQ-509.pdf,list_of_docs_1996.pdf,
1997,41,https://documents.ats.aq/ATCM21/wp/ATCM21_wp000_e.pdf,list_of_docs_1997.pdf,
1998,28,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/f/7/b/f7b9b5ef645b7d79cdb5ce6fe2f09b237e51cd455142095438898656dcc75f2f/c2a27f62-9186-4d0b-b9a9-eb176d352fa6-AU-ATADD-3-BB-AQ-565.pdf,list_of_docs_1998.pdf,
1999,,,,not in ATS nor ATADD
2001,38,https://documents.ats.aq/ATCM24/ad/ATCM24_ad001_e.pdf,list_of_docs_2001.pdf,
2002,,,,not in ATS nor ATADD
2003,,,,not in ATS nor ATADD
2004,,,,not in ATS nor ATADD (stopped searching after this date)
